const,S.No.,Kilometers_Driven,Mileage,Engine,Power,Seats,Ageofcar,Kilometers_Driven_log,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Brand_Class_Low
1,2390,56674,13.7,1798,157.75,5,5,10.945070830756016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,4499,193254,11.5,2982,171,7,11,12.171760664812426,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,4308,53817,25.47,1248,88.5,7,7,10.8933446813672,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1633,75445,22.7,1498,89.84,5,4,11.231159192947752,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,526,20667,22,1197,81.8,5,2,9.936293504261306,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,326,30000,9.52,2993,313,4,10,10.308952660644293,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,4520,62767,20.34,1498,103.2,5,5,11.047184736637487,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,5215,28232,15.8,1499,110,5,6,10.248211365355106,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
1,4050,60000,14.53,1798,138,5,12,11.002099841204238,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,3641,20229,25.17,799,53.3,5,5,9.914872497402692,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,220,25166,17.19,1197,81.86,5,3,10.133249156151914,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,5673,15976,17.9,2143,136,5,2,9.67884287509565,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,5653,29000,19.67,1582,126.2,5,5,10.275051108968613,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,366,45000,23.59,1364,67.05,5,7,10.714417768752456,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,4386,138000,18.2,1061,64,5,13,11.83500896413934,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,3292,51000,18,1497,117.3,5,6,10.839580911706461,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3766,15000,18.88,999,123.24,5,4,9.615805480084347,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,1078,10512,8.6,2706,265,2,6,9.260272740724393,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,5621,125000,11.5,2982,169,7,9,11.736069016284436,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1,777,67000,22.32,1582,126.32,5,9,11.112447898373103,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,5268,28000,17,1197,80,5,12,10.23995978915734,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,4708,49000,16.55,2993,258,5,5,10.799575577092764,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1460,69078,12.7,2179,187.7,5,13,11.142991579901722,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2705,68282,17.92,1086,62.1,5,13,11.131401467633472,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,5203,26969,22.07,1199,73.9,5,4,10.202443337211283,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,217,44000,19.81,1086,68.05,5,9,10.691944912900398,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
1,1655,80000,13.7,1798,157.75,5,7,11.289781913656018,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,5232,51000,16.8,1497,118,5,8,10.839580911706461,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1760,88000,20.77,1248,88.8,7,9,11.385092093460345,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2709,40866,19.5,1199,86.76,5,5,10.618053700469373,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,5172,53920,14.28,1798,138.03,5,6,10.895256745586188,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,4455,57266,20.5,1248,91.72,5,6,10.95546235835288,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,5040,62000,11.3,1298,83.1,8,18,11.034889664027231,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
1,1745,73513,19.7,796,46.3,5,11,11.20521754030944,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1,3060,20765,15,1598,103.52,5,6,9.941024156064854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,2998,78616,14.84,2143,170,5,7,11.272330520042264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
